city|state|state_name|county
Danville|PA|Pennsylvania|Montour
Ashdown|AR|Arkansas|Little River
Kutztown University|PA|Pennsylvania|Berks
Fox Farm-College|WY|Wyoming|Laramie
Anna|IL|Illinois|Union
Fayette|AL|Alabama|Fayette
Broadway|VA|Virginia|Rockingham
Franklin|NC|North Carolina|Macon
Fayetteville|NY|New York|Onondaga
Aumsville|OR|Oregon|Marion
Aldan|PA|Pennsylvania|Delaware
Sharpsville|PA|Pennsylvania|Mercer
Lyons|GA|Georgia|Toombs
Surfside Beach|SC|South Carolina|Horry
Mirrormont|WA|Washington|King
Cannon Falls|MN|Minnesota|Goodhue
Broken Bow|OK|Oklahoma|McCurtain
Mount Pleasant|PA|Pennsylvania|Westmoreland
Slaughterville|OK|Oklahoma|Cleveland
Bay Hill|FL|Florida|Orange
Grape Creek|TX|Texas|Tom Green
Sherman|IL|Illinois|Sangamon
Columbus|MN|Minnesota|Anoka
Ellenville|NY|New York|Ulster
East Camden|SC|South Carolina|Kershaw
High Ridge|MO|Missouri|Jefferson
Chagrin Falls|OH|Ohio|Cuyahoga
San Carlos|TX|Texas|Hidalgo
Kings Park|VA|Virginia|Fairfax
Wamego|KS|Kansas|Pottawatomie
Northwest Harwich|MA|Massachusetts|Barnstable
Mattituck|NY|New York|Suffolk
Kelseyville|CA|California|Lake
Mount Olive|NC|North Carolina|Wayne
Le Sueur|MN|Minnesota|Le Sueur
Charleroi|PA|Pennsylvania|Washington
Poplar Grove|IL|Illinois|Boone
Clarion|PA|Pennsylvania|Clarion
Paxton|IL|Illinois|Ford
Jacksonwald|PA|Pennsylvania|Berks
Cold Spring|MN|Minnesota|Stearns
Galeville|NY|New York|Onondaga
West Bay Shore|NY|New York|Suffolk
Bellville|TX|Texas|Austin
Springville|NY|New York|Erie
Rising Sun-Lebanon|DE|Delaware|Kent
Scott AFB|IL|Illinois|St. Clair
Park Layne|OH|Ohio|Clark
Edinburgh|IN|Indiana|Johnson
Malmstrom AFB|MT|Montana|Cascade
Kildeer|IL|Illinois|Lake
Kutztown|PA|Pennsylvania|Berks
Carlisle|IA|Iowa|Polk
Danielson|CT|Connecticut|Northeastern Connecticut
Lisbon Falls|ME|Maine|Androscoggin
Harbour Heights|FL|Florida|Charlotte
Madera Ranchos|CA|California|Madera
Monte Vista|CO|Colorado|Rio Grande
Fairway|KS|Kansas|Johnson
Greendale|IN|Indiana|Dearborn
Duncan|SC|South Carolina|Spartanburg
Trenton|TN|Tennessee|Gibson
Swanton|OH|Ohio|Fulton
Dallastown|PA|Pennsylvania|York
Caseyville|IL|Illinois|St. Clair
Wingate|NC|North Carolina|Union
Jourdanton|TX|Texas|Atascosa
Pipestone|MN|Minnesota|Pipestone
Shackle Island|TN|Tennessee|Sumner
Jefferson|IA|Iowa|Greene
Shrewsbury|NJ|New Jersey|Monmouth
Capitol View|SC|South Carolina|Richland
Sebring|OH|Ohio|Mahoning
Surf City|NC|North Carolina|Pender
Amity Gardens|PA|Pennsylvania|Berks
Montesano|WA|Washington|Grays Harbor
Whitesboro|TX|Texas|Grayson
Gardnertown|NY|New York|Orange
Riverside|MO|Missouri|Platte
Waverly|OH|Ohio|Pike
Algonac|MI|Michigan|St. Clair
Jacksboro|TX|Texas|Jack
Linden|MI|Michigan|Genesee
Clay Center|KS|Kansas|Clay
Roosevelt Park|MI|Michigan|Muskegon
Georgetown|OH|Ohio|Brown
Dawsonville|GA|Georgia|Dawson
Rosemont|IL|Illinois|Cook
Benson|NC|North Carolina|Johnston
Lansford|PA|Pennsylvania|Carbon
Dimmitt|TX|Texas|Castro
Southport|NC|North Carolina|Brunswick
Coal Valley|IL|Illinois|Rock Island
Newport|SC|South Carolina|York
Wonder Lake|IL|Illinois|McHenry
Lambertville|NJ|New Jersey|Hunterdon
Gibson|AR|Arkansas|Pulaski
Akwesasne|NY|New York|Franklin
Jena|LA|Louisiana|LaSalle
Thorndale|PA|Pennsylvania|Chester
Saxon|SC|South Carolina|Spartanburg
Lyncourt|NY|New York|Onondaga
Church Point|LA|Louisiana|Acadia
Lowell|MI|Michigan|Kent
Akron|PA|Pennsylvania|Lancaster
Jersey Shore|PA|Pennsylvania|Lycoming
Bowling Green|MO|Missouri|Pike
South Highpoint|FL|Florida|Pinellas
Dakota Dunes|SD|South Dakota|Union
Grafton|ND|North Dakota|Walsh
Brookfield|MO|Missouri|Linn
Brittany Farms-The Highlands|PA|Pennsylvania|Bucks
Hawaiian Acres|HI|Hawaii|Hawaii
Walhalla|SC|South Carolina|Oconee
McLendon-Chisholm|TX|Texas|Rockwall
Wellsville|UT|Utah|Cache
Rice Lake|MN|Minnesota|St. Louis
Williamston|SC|South Carolina|Anderson
Friona|TX|Texas|Parmer
North El Monte|CA|California|Los Angeles
Reiffton|PA|Pennsylvania|Berks
Nashville|AR|Arkansas|Howard
Monongahela|PA|Pennsylvania|Washington
Simonton Lake|IN|Indiana|Elkhart
Burnt Mills|MD|Maryland|Montgomery
Woodville|FL|Florida|Leon
Bystrom|CA|California|Stanislaus
Hunter|OH|Ohio|Warren
University Center|VA|Virginia|Loudoun
Valley Grande|AL|Alabama|Dallas
Goodview|MN|Minnesota|Winona
Pinetop-Lakeside|AZ|Arizona|Navajo
The College of New Jersey|NJ|New Jersey|Mercer
Falls City|NE|Nebraska|Richardson
North East|MD|Maryland|Cecil
Gordon Heights|NY|New York|Suffolk
Forest Oaks|NC|North Carolina|Guilford
Fruit Hill|OH|Ohio|Hamilton
Metamora|IL|Illinois|Woodford
Jonesboro|LA|Louisiana|Jackson
Taylor|AZ|Arizona|Navajo
North Muskegon|MI|Michigan|Muskegon
Fenton|MO|Missouri|St. Louis
Clayton|DE|Delaware|Kent
Trent Woods|NC|North Carolina|Craven
Green Oaks|IL|Illinois|Lake
Riverdale|NJ|New Jersey|Morris
Armona|CA|California|Kings
North Brooksville|FL|Florida|Hernando
Pascoag|RI|Rhode Island|Providence
Bullard|TX|Texas|Smith
Otsego|MI|Michigan|Allegan
Herricks|NY|New York|Nassau
Garden City South|NY|New York|Nassau
Medina|TX|Texas|Zapata
Montauk|NY|New York|Suffolk
Hazlehurst|GA|Georgia|Jeff Davis
Marseilles|IL|Illinois|LaSalle
Sparta|IL|Illinois|Randolph
Mulberry|FL|Florida|Polk
Leisure Village West|NJ|New Jersey|Ocean
Throop|PA|Pennsylvania|Lackawanna
Gentry|AR|Arkansas|Benton
Hugoton|KS|Kansas|Stevens
West Milwaukee|WI|Wisconsin|Milwaukee
Rock Valley|IA|Iowa|Sioux
Brookdale|SC|South Carolina|Orangeburg
Cross Plains|WI|Wisconsin|Dane
Delmar|MD|Maryland|Wicomico
Crittenden|KY|Kentucky|Grant
Eastwood|LA|Louisiana|Bossier
Santa Rita Ranch|TX|Texas|Williamson
Monticello|IA|Iowa|Jones
Candelaria Arenas|PR|Puerto Rico|Toa Baja
Holloman AFB|NM|New Mexico|Otero
Chester|NY|New York|Orange
Tierra Verde|FL|Florida|Pinellas
Lathrup Village|MI|Michigan|Oakland
Marine City|MI|Michigan|St. Clair
Rosewood Heights|IL|Illinois|Madison
Greenfield|OH|Ohio|Highland
Quitman|GA|Georgia|Brooks
Larch Way|WA|Washington|Snohomish
Fleetwood|PA|Pennsylvania|Berks
Weston Lakes|TX|Texas|Fort Bend
Laurel|DE|Delaware|Sussex
Winnfield|LA|Louisiana|Winn
Bosque Farms|NM|New Mexico|Valencia
Comerio|PR|Puerto Rico|Comerío
Amite City|LA|Louisiana|Tangipahoa
Haskell|AR|Arkansas|Saline
Enon|VA|Virginia|Chesterfield
Silver Lake|NJ|New Jersey|Essex
Mary Esther|FL|Florida|Okaloosa
Smithville|TX|Texas|Bastrop
Mount Repose|OH|Ohio|Clermont
Loxley|AL|Alabama|Baldwin
Cedar Creek|TX|Texas|Bastrop
Elkin|NC|North Carolina|Surry
Huntington|TX|Texas|Angelina
Bardonia|NY|New York|Rockland
South Eliot|ME|Maine|York
St. Charles|MN|Minnesota|Winona
Dillon|MT|Montana|Beaverhead
Coquille|OR|Oregon|Coos
Cayuga Heights|NY|New York|Tompkins
Camdenton|MO|Missouri|Camden
West Bradenton|FL|Florida|Manatee
Stanley|NC|North Carolina|Gaston
Capitol Heights|MD|Maryland|Prince George's
Warminster Heights|PA|Pennsylvania|Bucks
Millstadt|IL|Illinois|St. Clair
Mineral Ridge|OH|Ohio|Trumbull
Camden|DE|Delaware|Kent
Point Pleasant|WV|West Virginia|Mason
Pinehurst|TX|Texas|Montgomery
Westover|WV|West Virginia|Monongalia
Taylor Creek|OH|Ohio|Hamilton
Marlboro Meadows|MD|Maryland|Prince George's
Cutler|CA|California|Tulare
Algood|TN|Tennessee|Putnam
Collinsville|CT|Connecticut|Capitol
St. Bernard|OH|Ohio|Hamilton
Brownsville|LA|Louisiana|Ouachita
Trappe|PA|Pennsylvania|Montgomery
Basalt|CO|Colorado|Eagle
South Haven|MI|Michigan|Van Buren
Indian Head Park|IL|Illinois|Cook
Ridgway|PA|Pennsylvania|Elk
San Miguel|CA|California|Contra Costa
Friendship Heights Village|MD|Maryland|Montgomery
Pittsboro|IN|Indiana|Hendricks
Esperance|WA|Washington|Snohomish
Riverwoods|IL|Illinois|Lake
Singac|NJ|New Jersey|Passaic
Ladonia|AL|Alabama|Russell
Chilton|WI|Wisconsin|Calumet
Marshall|IL|Illinois|Clark
Hawkinsville|GA|Georgia|Pulaski
University Gardens|NY|New York|Nassau
Southern Shops|SC|South Carolina|Spartanburg
Tierras Nuevas Poniente|PR|Puerto Rico|Manatí
Indian Head|MD|Maryland|Charles
Rossville|GA|Georgia|Walker
Saw Creek|PA|Pennsylvania|Pike
Burnham|IL|Illinois|Cook
Penrose|CO|Colorado|Fremont
Magee|MS|Mississippi|Simpson
Edgefield|SC|South Carolina|Edgefield
Metter|GA|Georgia|Candler
Jackson|LA|Louisiana|East Feliciana
Colorado City|TX|Texas|Mitchell
South Russell|OH|Ohio|Geauga
Tangerine|FL|Florida|Orange
Heritage Hills|NY|New York|Westchester
Three Rivers|OR|Oregon|Deschutes
Madill|OK|Oklahoma|Marshall
Pecan Acres|TX|Texas|Tarrant
Scandia|MN|Minnesota|Washington
Mullins|SC|South Carolina|Marion
Wallace|FL|Florida|Santa Rosa
Horace|ND|North Dakota|Cass
Palmer Heights|PA|Pennsylvania|Northampton
Carroll Valley|PA|Pennsylvania|Adams
Belleville|MI|Michigan|Wayne
Castle Hills|TX|Texas|Bexar
White Bluff|TN|Tennessee|Dickson
Pomona|NY|New York|Rockland
Lancaster|KY|Kentucky|Garrard
Marlboro|NY|New York|Ulster
Brookville|PA|Pennsylvania|Jefferson
Meadow Lake|NM|New Mexico|Valencia
Grant|MN|Minnesota|Washington
Sagamore|MA|Massachusetts|Barnstable
Pennsburg|PA|Pennsylvania|Montgomery
Battle Mountain|NV|Nevada|Lander
Livingston|TN|Tennessee|Overton
Shenandoah Farms|VA|Virginia|Warren
Meiners Oaks|CA|California|Ventura
Boardman|OR|Oregon|Morrow
Scott City|KS|Kansas|Scott
Pleasant Hills|MD|Maryland|Harford
Lincoln Village|CA|California|San Joaquin
Golden Beach|MD|Maryland|St. Mary's
Nash|TX|Texas|Bowie
Dorr|MI|Michigan|Allegan
Saint Davids|PA|Pennsylvania|Delaware
Turners Falls|MA|Massachusetts|Franklin
Bayport|MN|Minnesota|Washington
Schnecksville|PA|Pennsylvania|Lehigh
Lawrenceville|NJ|New Jersey|Mercer
Dell Rapids|SD|South Dakota|Minnehaha
Cozad|NE|Nebraska|Dawson
Coleman|TX|Texas|Coleman
Spencer|OK|Oklahoma|Oklahoma
Emigsville|PA|Pennsylvania|York
Ely|NV|Nevada|White Pine
Mitchell|IN|Indiana|Lawrence
Highland Lakes|NJ|New Jersey|Sussex
Cherry Grove|OH|Ohio|Hamilton
Vidalia|LA|Louisiana|Concordia
Madeira Beach|FL|Florida|Pinellas
Santa Venetia|CA|California|Marin
North Richmond|CA|California|Contra Costa
Woodson Terrace|MO|Missouri|St. Louis
Upland|IN|Indiana|Grant
El Jebel|CO|Colorado|Eagle
Chandler|IN|Indiana|Warrick
Pea Ridge|FL|Florida|Santa Rosa
Flagler Estates|FL|Florida|St. Johns
Oaklyn|NJ|New Jersey|Camden
South Chicago Heights|IL|Illinois|Cook
Bayou Vista|LA|Louisiana|St. Mary
Colonial Beach|VA|Virginia|Westmoreland
Williamstown|KY|Kentucky|Grant
Pine Manor|FL|Florida|Lee
Bethlehem|NC|North Carolina|Alexander
Raymond|WI|Wisconsin|Racine
Cisco|TX|Texas|Eastland
Metzger|OR|Oregon|Washington
North Pembroke|MA|Massachusetts|Plymouth
Barrington Hills|IL|Illinois|Cook
St. James|MO|Missouri|Phelps
Rockwell|AR|Arkansas|Garland
Del Mar|CA|California|San Diego
Sullivan City|TX|Texas|Hidalgo
Kiel|WI|Wisconsin|Manitowoc
Citronelle|AL|Alabama|Mobile
Brown Station|MD|Maryland|Prince George's
Lancaster|WI|Wisconsin|Grant
Montpelier|OH|Ohio|Williams
Emerald Isle|NC|North Carolina|Carteret
Centerville|MN|Minnesota|Anoka
Dupo|IL|Illinois|St. Clair
Valdez|AK|Alaska|Chugach
Kittanning|PA|Pennsylvania|Armstrong
Oronoque|CT|Connecticut|Greater Bridgeport
Morongo Valley|CA|California|San Bernardino
Berne|IN|Indiana|Adams
Butte|AK|Alaska|Matanuska-Susitna
Fairbury|NE|Nebraska|Jefferson
Lockeford|CA|California|San Joaquin
Hudson Bend|TX|Texas|Travis
Cresco|IA|Iowa|Howard
Windber|PA|Pennsylvania|Somerset
Campanilla|PR|Puerto Rico|Toa Baja
Ball|LA|Louisiana|Rapides
Hidden Meadows|CA|California|San Diego
Clyde|TX|Texas|Callahan
Great Notch|NJ|New Jersey|Passaic
Parkesburg|PA|Pennsylvania|Chester
Carrollton|KY|Kentucky|Carroll
Pinch|WV|West Virginia|Kanawha
Pulaski|WI|Wisconsin|Brown
Swansboro|NC|North Carolina|Onslow
Woodlawn|OH|Ohio|Hamilton
La Center|WA|Washington|Clark
Weston|WV|West Virginia|Lewis
Loyola|CA|California|Santa Clara
South Blooming Grove|NY|New York|Orange
Oak Lane|PA|Pennsylvania|Montgomery
Goodland|KS|Kansas|Sherman
Dumas|AR|Arkansas|Desha
Northumberland|PA|Pennsylvania|Northumberland
Lewisburg|WV|West Virginia|Greenbrier
Zelienople|PA|Pennsylvania|Butler
Florence|CO|Colorado|Fremont
Woodbridge|CA|California|San Joaquin
Waynesburg|PA|Pennsylvania|Greene
Empire|CA|California|Stanislaus
Baden|PA|Pennsylvania|Beaver
Berwyn|PA|Pennsylvania|Chester
Granite Hills|CA|California|San Diego
Shrewsbury|PA|Pennsylvania|York
Norwood Young America|MN|Minnesota|Carver
Alturas|FL|Florida|Polk
Leland|MS|Mississippi|Washington
Baxter Springs|KS|Kansas|Cherokee
Irwin|PA|Pennsylvania|Westmoreland
Forestville|CA|California|Sonoma
Auburn Lake Trails|CA|California|El Dorado
Frackville|PA|Pennsylvania|Schuylkill
Ballville|OH|Ohio|Sandusky
York Harbor|ME|Maine|York
Bellaire|OH|Ohio|Belmont
Farmersville|TX|Texas|Collin
Mulberry|OH|Ohio|Clermont
North Hudson|WI|Wisconsin|St. Croix
Wills Point|TX|Texas|Van Zandt
Northlake|SC|South Carolina|Anderson
McCall|ID|Idaho|Valley
Ravenswood|WV|West Virginia|Jackson
St. James City|FL|Florida|Lee
Clifton|AZ|Arizona|Greenlee
Manning|SC|South Carolina|Clarendon
Bella Vista|CA|California|Shasta
Rocky Ford|CO|Colorado|Otero
Knox|IN|Indiana|Starke
Zumbrota|MN|Minnesota|Goodhue
Montrose|MN|Minnesota|Wright
Aguilita|PR|Puerto Rico|Juana Díaz
Richwood|LA|Louisiana|Ouachita
Nichols Hills|OK|Oklahoma|Oklahoma
Amberley|OH|Ohio|Hamilton
Wintersville|OH|Ohio|Jefferson
Deephaven|MN|Minnesota|Hennepin
Juno Beach|FL|Florida|Palm Beach
Karns|TN|Tennessee|Knox
Skippers Corner|NC|North Carolina|New Hanover
Mountain View|HI|Hawaii|Hawaii
St. Joseph|IL|Illinois|Champaign
Fort McKinley|OH|Ohio|Montgomery
Avenue B and C|AZ|Arizona|Yuma
Freeland|PA|Pennsylvania|Luzerne
Boyne City|MI|Michigan|Charlevoix
Elim|PA|Pennsylvania|Cambria
Hahnville|LA|Louisiana|St. Charles
Genesee|CO|Colorado|Jefferson
Brookmont|MD|Maryland|Montgomery
Cascade Valley|WA|Washington|Grant
Vicksburg|MI|Michigan|Kalamazoo
Dana|NC|North Carolina|Henderson
Prestonsburg|KY|Kentucky|Floyd
Quinnipiac University|CT|Connecticut|South Central Connecticut
Portland|MI|Michigan|Ionia
Oregon|IL|Illinois|Ogle
Whitmore Village|HI|Hawaii|Honolulu
Grayson|KY|Kentucky|Carter
Malden|MO|Missouri|Dunklin
St. Anthony|ID|Idaho|Fremont
Nelsonville|OH|Ohio|Athens
Merchantville|NJ|New Jersey|Camden
Unicoi|TN|Tennessee|Unicoi
Booneville|AR|Arkansas|Logan
Troutman|NC|North Carolina|Iredell
Oakhurst|NJ|New Jersey|Monmouth
Meridian|PA|Pennsylvania|Butler
Hawaiian Ocean View|HI|Hawaii|Hawaii
Rockfish|NC|North Carolina|Hoke
Marshall|WI|Wisconsin|Dane
Austin|AR|Arkansas|Lonoke
Fort Gibson|OK|Oklahoma|Muskogee
Harrington|DE|Delaware|Kent
Lake California|CA|California|Tehama
Lake Sarasota|FL|Florida|Sarasota
Bunker Hill Village|TX|Texas|Harris
Williamston|MI|Michigan|Ingham
Pocono Woodland Lakes|PA|Pennsylvania|Pike
Boonsboro|MD|Maryland|Washington
Bluffton|OH|Ohio|Allen
Horicon|WI|Wisconsin|Dodge
Pixley|CA|California|Tulare
Waukon|IA|Iowa|Allamakee
West Liberty|IA|Iowa|Muscatine
San Diego|TX|Texas|Duval
Paw Paw Lake|MI|Michigan|Berrien
Dwight|IL|Illinois|Livingston
Mission Hills|CA|California|Santa Barbara
India Hook|SC|South Carolina|York
Oneida|TN|Tennessee|Scott
Umatilla|FL|Florida|Lake
Bishop|CA|California|Inyo
Harlem|GA|Georgia|Columbia
Hohenwald|TN|Tennessee|Lewis
Wheatland|CA|California|Yuba
Manhasset Hills|NY|New York|Nassau
Georgetown|IN|Indiana|Floyd
Red Bud|IL|Illinois|Randolph
Navy|VA|Virginia|Fairfax
Buckner|KY|Kentucky|Oldham
Rochester|IL|Illinois|Sangamon
Ajo|AZ|Arizona|Pima
Morrison|IL|Illinois|Whiteside
Rochester|WI|Wisconsin|Racine
La Cienega|NM|New Mexico|Santa Fe
Hudson|NC|North Carolina|Caldwell
Maiden|NC|North Carolina|Catawba
Jamestown|CA|California|Tuolumne
Glenwood Landing|NY|New York|Nassau
Denver|PA|Pennsylvania|Lancaster
Port Reading|NJ|New Jersey|Middlesex
Stanley|WI|Wisconsin|Chippewa
Carter Lake|IA|Iowa|Pottawattamie
Niwot|CO|Colorado|Boulder
Lindsborg|KS|Kansas|McPherson
Golf Manor|OH|Ohio|Hamilton
Walthourville|GA|Georgia|Liberty
Lely|FL|Florida|Collier
New Lebanon|OH|Ohio|Montgomery
Thompsonville|PA|Pennsylvania|Washington
Hardin|MT|Montana|Big Horn
Hazel Green|AL|Alabama|Madison
Grand Bay|AL|Alabama|Mobile
Plainwell|MI|Michigan|Allegan
Eldorado|IL|Illinois|Saline
Idyllwild-Pine Cove|CA|California|Riverside
Cedarville|OH|Ohio|Greene
Lincoln|ID|Idaho|Bonneville
White House Station|NJ|New Jersey|Hunterdon
Point Baker|FL|Florida|Santa Rosa
Sloan|NY|New York|Erie
Houston|MS|Mississippi|Chickasaw
Old Stine|CA|California|Kern
Ridgeland|SC|South Carolina|Jasper
Brentwood|MD|Maryland|Prince George's
Aledo|IL|Illinois|Mercer
Edgecliff Village|TX|Texas|Tarrant
Cambrian Park|CA|California|Santa Clara
Captain Cook|HI|Hawaii|Hawaii
North Baltimore|OH|Ohio|Wood
Spurgeon|TN|Tennessee|Washington
Hesston|KS|Kansas|Harvey
McGehee|AR|Arkansas|Desha
Esparto|CA|California|Yolo
East Village|CT|Connecticut|Greater Bridgeport
Byron|IL|Illinois|Ogle
Stilwell|OK|Oklahoma|Adair
South Glens Falls|NY|New York|Saratoga
Brenas|PR|Puerto Rico|Vega Alta
Mountain Green|UT|Utah|Morgan
Mogadore|OH|Ohio|Summit
Mount Pleasant|UT|Utah|Sanpete
Lowesville|NC|North Carolina|Lincoln
Cockrell Hill|TX|Texas|Dallas
Sixteen Mile Stand|OH|Ohio|Hamilton
San Joaquin|CA|California|Fresno
Melwood|MD|Maryland|Prince George's
Honea Path|SC|South Carolina|Anderson
Punta Santiago|PR|Puerto Rico|Humacao
Gooding|ID|Idaho|Gooding
Elm Creek|TX|Texas|Maverick
Baldwin|GA|Georgia|Habersham
Anthony|TX|Texas|El Paso
Landis|NC|North Carolina|Rowan
Balmville|NY|New York|Orange
Oglesby|IL|Illinois|LaSalle
Rosemont|PA|Pennsylvania|Montgomery
Hill 'n Dale|FL|Florida|Hernando
Felton|CA|California|Santa Cruz
Angels|CA|California|Calaveras
Kaunakakai|HI|Hawaii|Maui
Kitty Hawk|NC|North Carolina|Dare
Arcadia|WI|Wisconsin|Trempealeau
Columbus|TX|Texas|Colorado
Bunk Foss|WA|Washington|Snohomish
Dunean|SC|South Carolina|Greenville
Winchester|CA|California|Riverside
Forestdale|MA|Massachusetts|Barnstable
Greentown|OH|Ohio|Stark
Whiteman AFB|MO|Missouri|Johnson
Plain City|OH|Ohio|Madison
Hebron|IN|Indiana|Porter
Lowell|NC|North Carolina|Gaston
Deer Park|IL|Illinois|Lake
Richfield|OH|Ohio|Summit
Grand Mound|WA|Washington|Thurston
Elkins|AR|Arkansas|Washington
Watergate|FL|Florida|Palm Beach
Trevose|PA|Pennsylvania|Bucks
Beechwood|MS|Mississippi|Warren
Mora|MN|Minnesota|Kanabec
Lenwood|CA|California|San Bernardino
North Shore|VA|Virginia|Franklin
Imlay City|MI|Michigan|Lapeer
West End-Cobb Town|AL|Alabama|Calhoun
Aurora|IN|Indiana|Dearborn
Westhampton|NY|New York|Suffolk
Montrose|NY|New York|Westchester
Gamewell|NC|North Carolina|Caldwell
South Toms River|NJ|New Jersey|Ocean
Highland-on-the-Lake|NY|New York|Erie
Washington|GA|Georgia|Wilkes
Hoschton|GA|Georgia|Jackson
Highland Falls|NY|New York|Orange
Russell|KY|Kentucky|Greenup
Mono Vista|CA|California|Tuolumne
Independence|MN|Minnesota|Hennepin
Tabor City|NC|North Carolina|Columbus
Port Hadlock-Irondale|WA|Washington|Jefferson
Haviland|NY|New York|Dutchess
Maple Heights-Lake Desire|WA|Washington|King
Greenhills|OH|Ohio|Hamilton
Pine Island|MN|Minnesota|Goodhue
Penn Estates|PA|Pennsylvania|Monroe
Bloomer|WI|Wisconsin|Chippewa
Cotulla|TX|Texas|La Salle
Woodstown|NJ|New Jersey|Salem
Florida|PR|Puerto Rico|Florida
Barron|WI|Wisconsin|Barron
Albia|IA|Iowa|Monroe
Vandenberg AFB|CA|California|Santa Barbara
Hephzibah|GA|Georgia|Richmond
Setauket|NY|New York|Suffolk
Tiptonville|TN|Tennessee|Lake
Jamestown|NC|North Carolina|Guilford
East Dennis|MA|Massachusetts|Barnstable
Glen Raven|NC|North Carolina|Alamance
Long Prairie|MN|Minnesota|Todd
Fairbury|IL|Illinois|Livingston
Middlebury|IN|Indiana|Elkhart
Southgate|KY|Kentucky|Campbell
Landmark|AR|Arkansas|Pulaski
Chipley|FL|Florida|Washington
Taylor Lake Village|TX|Texas|Harris
Montura|FL|Florida|Hendry
Heyburn|ID|Idaho|Minidoka
Delta|UT|Utah|Millard
Harrisburg|OR|Oregon|Linn
Wynantskill|NY|New York|Rensselaer
Manila|AR|Arkansas|Mississippi
Sunnyslope|WA|Washington|Chelan
Putnam Lake|NY|New York|Putnam
Carefree|AZ|Arizona|Maricopa
Bajadero|PR|Puerto Rico|Arecibo
Hemlock Farms|PA|Pennsylvania|Pike
Eastlawn Gardens|PA|Pennsylvania|Northampton
Leo-Cedarville|IN|Indiana|Allen
Rutherfordton|NC|North Carolina|Rutherford
Frontenac|MO|Missouri|St. Louis
Nome|AK|Alaska|Nome
Thomasville|AL|Alabama|Clarke
Indian Rocks Beach|FL|Florida|Pinellas
Rexland Acres|CA|California|Kern
Eastover|NC|North Carolina|Cumberland
Camden|TN|Tennessee|Benton
Centre|AL|Alabama|Cherokee
Wilkesboro|NC|North Carolina|Wilkes
Lake Holm|WA|Washington|King
Stanford|KY|Kentucky|Lincoln
Stonybrook|PA|Pennsylvania|York
Cedar Springs|MI|Michigan|Kent
Highland Acres|DE|Delaware|Kent
Morton|MS|Mississippi|Scott
Spencerport|NY|New York|Monroe
Whitney|SC|South Carolina|Spartanburg
Granger|WA|Washington|Yakima
Minoa|NY|New York|Onondaga
Forsyth|IL|Illinois|Macon
Yellow Springs|OH|Ohio|Greene
North River Shores|FL|Florida|Martin
Romeo|MI|Michigan|Macomb
Lake Isabella|CA|California|Kern
Northwoods|MO|Missouri|St. Louis
Priceville|AL|Alabama|Morgan
Emmetsburg|IA|Iowa|Palo Alto
Moundville|AL|Alabama|Hale
Welcome|NC|North Carolina|Davidson
Moscow Mills|MO|Missouri|Lincoln
Riverview Park|PA|Pennsylvania|Berks
Waikapu|HI|Hawaii|Maui
Burbank|WA|Washington|Walla Walla
Gatlinburg|TN|Tennessee|Sevier
Whitesboro|NY|New York|Oneida
Crockett|CA|California|Contra Costa
Desert Edge|CA|California|Riverside
Port Vue|PA|Pennsylvania|Allegheny
Salem Heights|OH|Ohio|Hamilton
Omro|WI|Wisconsin|Winnebago
Howe|TX|Texas|Grayson
North Great River|NY|New York|Suffolk
Tyro|NC|North Carolina|Davidson
Groesbeck|TX|Texas|Limestone
Combined Locks|WI|Wisconsin|Outagamie
Beaver|UT|Utah|Beaver
Eastland|TX|Texas|Eastland
West Columbia|TX|Texas|Brazoria
Gravette|AR|Arkansas|Benton
Johnson|AR|Arkansas|Washington
Escatawpa|MS|Mississippi|Jackson
Rollingwood|CA|California|Contra Costa
Linwood|PA|Pennsylvania|Delaware
Upper Greenwood Lake|NJ|New Jersey|Passaic
Etowah|TN|Tennessee|McMinn
Palmyra|MO|Missouri|Marion
North Wildwood|NJ|New Jersey|Cape May
Norton|VA|Virginia|Norton
Key Center|WA|Washington|Pierce
High Point|FL|Florida|Hernando
Vine Hill|CA|California|Contra Costa
Tuckerton|NJ|New Jersey|Ocean
Franklinton|LA|Louisiana|Washington
Fort Defiance|AZ|Arizona|Apache
East Basin|UT|Utah|Summit
Lordship|CT|Connecticut|Greater Bridgeport
Buies Creek|NC|North Carolina|Harnett
Jasper|TN|Tennessee|Marion
Gibson City|IL|Illinois|Ford
Melrose|MN|Minnesota|Stearns
Delshire|OH|Ohio|Hamilton
Laguna Vista|TX|Texas|Cameron
Greensboro|GA|Georgia|Greene
Boiling Springs|PA|Pennsylvania|Cumberland
North Lakeville|MA|Massachusetts|Plymouth
Barnesville|OH|Ohio|Belmont
Shavano Park|TX|Texas|Bexar
Clifton Knolls-Mill Creek|NY|New York|Saratoga
Ballinger|TX|Texas|Runnels
Two Harbors|MN|Minnesota|Lake
Marin City|CA|California|Marin
Shenandoah|TX|Texas|Montgomery
East Sandwich|MA|Massachusetts|Barnstable
Walton Park|NY|New York|Orange
Sweeny|TX|Texas|Brazoria
Brices Creek|NC|North Carolina|Craven
Roebling|NJ|New Jersey|Burlington
Halfway House|PA|Pennsylvania|Montgomery
Locust Valley|NY|New York|Nassau
Piggott|AR|Arkansas|Clay
Eagle Grove|IA|Iowa|Wright
Austin|IN|Indiana|Scott
