City|State short|State full|County|City alias
Lake Pocotopaug|CT|Connecticut|Lower Connecticut River Valley|Lake Pocotopaug
Osage Beach|MO|Missouri|Camden|Osage Beach
Longbranch|WA|Washington|Pierce|Longbranch
Madison|GA|Georgia|Morgan|Madison
Leonardtown|MD|Maryland|St. Mary's|Leonardtown
Montoursville|PA|Pennsylvania|Lycoming|Montoursville
Woodmore|MD|Maryland|Prince George's|Woodmore
Morgan's Point Resort|TX|Texas|Bell|Morgan's Point Resort
Jenkintown|PA|Pennsylvania|Montgomery|Jenkintown
Rock Hill|MO|Missouri|St. Louis|Rock Hill
Fabens|TX|Texas|El Paso|Fabens
Montgomery|GA|Georgia|Chatham|Montgomery
Naguabo|PR|Puerto Rico|Naguabo|Naguabo
Country Lake Estates|NJ|New Jersey|Burlington|Country Lake Estates
East Palestine|OH|Ohio|Columbiana|East Palestine
Lakewood|IL|Illinois|McHenry|Lakewood
Grayson|GA|Georgia|Gwinnett|Grayson
Lemoyne|PA|Pennsylvania|Cumberland|Lemoyne
Ocean Bluff-Brant Rock|MA|Massachusetts|Plymouth|Ocean Bluff-Brant Rock
Childersburg|AL|Alabama|Talladega|Childersburg
Moses Lake North|WA|Washington|Grant|Moses Lake North
Elberton|GA|Georgia|Elbert|Elberton
West Elmira|NY|New York|Chemung|West Elmira
Swartz|LA|Louisiana|Ouachita|Swartz
Oak Hill|TN|Tennessee|Davidson|Oak Hill
Whiteville|TN|Tennessee|Hardeman|Whiteville
Valdese|NC|North Carolina|Burke|Valdese
East Troy|WI|Wisconsin|Walworth|East Troy
Avalon|PA|Pennsylvania|Allegheny|Avalon
Meadows Place|TX|Texas|Fort Bend|Meadows Place
Mount Plymouth|FL|Florida|Lake|Mount Plymouth
Garwood|NJ|New Jersey|Union|Garwood
Fort Pierce South|FL|Florida|St. Lucie|Fort Pierce South
Lillington|NC|North Carolina|Harnett|Lillington
Palmetto|GA|Georgia|Fulton|Palmetto
Blanchester|OH|Ohio|Clinton|Blanchester
Crooked River Ranch|OR|Oregon|Jefferson|Crooked River Ranch
Berwick|LA|Louisiana|St. Mary|Berwick
Monticello|LA|Louisiana|East Baton Rouge|Monticello
Tuscola|IL|Illinois|Douglas|Tuscola
Salem|MO|Missouri|Dent|Salem
Grafton|WV|West Virginia|Taylor|Grafton
Haleiwa|HI|Hawaii|Honolulu|Haleiwa
Hurstbourne|KY|Kentucky|Jefferson|Hurstbourne
Berryville|VA|Virginia|Clarke|Berryville
Lake Worth|TX|Texas|Tarrant|Lake Worth
Aurora|NE|Nebraska|Hamilton|Aurora
Dilworth|MN|Minnesota|Clay|Dilworth
Paradise Hills|NM|New Mexico|Bernalillo|Paradise Hills
Bremen|IN|Indiana|Marshall|Bremen
Anasco|PR|Puerto Rico|Añasco|Anasco
Adjuntas|PR|Puerto Rico|Adjuntas|Adjuntas
Springhill|LA|Louisiana|Webster|Springhill
Granite Falls|WA|Washington|Snohomish|Granite Falls
Fairfield|IL|Illinois|Wayne|Fairfield
Gifford|FL|Florida|Indian River|Gifford
Silverthorne|CO|Colorado|Summit|Silverthorne
Pacheco|CA|California|Contra Costa|Pacheco
Nikiski|AK|Alaska|Kenai Peninsula|Nikiski
Grant-Valkaria|FL|Florida|Brevard|Grant-Valkaria
Jackson|AL|Alabama|Clarke|Jackson
Mansfield|LA|Louisiana|De Soto|Mansfield
Boalsburg|PA|Pennsylvania|Centre|Boalsburg
Montebello|NY|New York|Rockland|Montebello
Mount Ephraim|NJ|New Jersey|Camden|Mount Ephraim
Florence|MS|Mississippi|Rankin|Florence
West Pittston|PA|Pennsylvania|Luzerne|West Pittston
Copperopolis|CA|California|Calaveras|Copperopolis
Clarkdale|AZ|Arizona|Yavapai|Clarkdale
Negaunee|MI|Michigan|Marquette|Negaunee
Forsyth|GA|Georgia|Monroe|Forsyth
Los Chaves|NM|New Mexico|Valencia|Los Chaves
Columbiana|AL|Alabama|Shelby|Columbiana
Pittsboro|NC|North Carolina|Chatham|Pittsboro
Buckhead|GA|Georgia|Bryan|Buckhead
Rogersville|TN|Tennessee|Hawkins|Rogersville
Buckingham|FL|Florida|Lee|Buckingham
American Falls|ID|Idaho|Power|American Falls
Clarcona|FL|Florida|Orange|Clarcona
Olympia Fields|IL|Illinois|Cook|Olympia Fields
Lorane|PA|Pennsylvania|Berks|Lorane
Watseka|IL|Illinois|Iroquois|Watseka
Ashville|OH|Ohio|Pickaway|Ashville
Boiling Springs|NC|North Carolina|Cleveland|Boiling Springs
Buhl|ID|Idaho|Twin Falls|Buhl
Oconto|WI|Wisconsin|Oconto|Oconto
Michigan Center|MI|Michigan|Jackson|Michigan Center
Blue Point|NY|New York|Suffolk|Blue Point
Panther Valley|NJ|New Jersey|Warren|Panther Valley
Weaverville|NC|North Carolina|Buncombe|Weaverville
Erwin|NC|North Carolina|Harnett|Erwin
Barnwell|SC|South Carolina|Barnwell|Barnwell
Centralia|MO|Missouri|Boone|Centralia
Lake Montezuma|AZ|Arizona|Yavapai|Lake Montezuma
Blackwood|NJ|New Jersey|Camden|Blackwood
La Joya|TX|Texas|Hidalgo|La Joya
Beaufort|NC|North Carolina|Carteret|Beaufort
Kalaheo|HI|Hawaii|Kauai|Kalaheo
Wood Village|OR|Oregon|Multnomah|Wood Village
Lindale|GA|Georgia|Floyd|Lindale
Mount Carmel|OH|Ohio|Clermont|Mount Carmel
Randleman|NC|North Carolina|Randolph|Randleman
Folkston|GA|Georgia|Charlton|Folkston
Hollister|MO|Missouri|Taney|Hollister
Neptune City|NJ|New Jersey|Monmouth|Neptune City
Deer Park|WA|Washington|Spokane|Deer Park
Cornwall|PA|Pennsylvania|Lebanon|Cornwall
Lexington|MO|Missouri|Lafayette|Lexington
Belfair|WA|Washington|Mason|Belfair
Noyack|NY|New York|Suffolk|Noyack
South Tucson|AZ|Arizona|Pima|South Tucson
South Greeley|WY|Wyoming|Laramie|South Greeley
Butler|MO|Missouri|Bates|Butler
Ellisville|MS|Mississippi|Jones|Ellisville
New Boston|TX|Texas|Bowie|New Boston
Sauk Centre|MN|Minnesota|Stearns|Sauk Centre
Waimanalo Beach|HI|Hawaii|Honolulu|Waimanalo Beach
Pinardville|NH|New Hampshire|Hillsborough|Pinardville
Big Pine Key|FL|Florida|Monroe|Big Pine Key
St. James|MD|Maryland|Washington|St. James
Beavercreek|OR|Oregon|Clackamas|Beavercreek
Wapato|WA|Washington|Yakima|Wapato
Coopertown|TN|Tennessee|Robertson|Coopertown
Highlands|NJ|New Jersey|Monmouth|Highlands
East Petersburg|PA|Pennsylvania|Lancaster|East Petersburg
Glen Head|NY|New York|Nassau|Glen Head
Holts Summit|MO|Missouri|Callaway|Holts Summit
Moon Lake|FL|Florida|Pasco|Moon Lake
Creve Coeur|IL|Illinois|Tazewell|Creve Coeur
Little Falls|NY|New York|Herkimer|Little Falls
East Porterville|CA|California|Tulare|East Porterville
Greenacres|CA|California|Kern|Greenacres
Charleston|MO|Missouri|Mississippi|Charleston
Camanche|IA|Iowa|Clinton|Camanche
Lake Tansi|TN|Tennessee|Cumberland|Lake Tansi
Mullica Hill|NJ|New Jersey|Gloucester|Mullica Hill
Heron Bay|GA|Georgia|Henry|Heron Bay
Floyds Knobs|IN|Indiana|Floyd|Floyds Knobs
Shannon Hills|AR|Arkansas|Saline|Shannon Hills
Cortland|IL|Illinois|DeKalb|Cortland
Ranlo|NC|North Carolina|Gaston|Ranlo
Whiting|IN|Indiana|Lake|Whiting
Newton Falls|OH|Ohio|Trumbull|Newton Falls
Clintonville|WI|Wisconsin|Waupaca|Clintonville
Ada|OH|Ohio|Hardin|Ada
Post|TX|Texas|Garza|Post
Waynesboro|MS|Mississippi|Wayne|Waynesboro
Mount Vernon|IA|Iowa|Linn|Mount Vernon
Glendale|CO|Colorado|Arapahoe|Glendale
Sellersville|PA|Pennsylvania|Bucks|Sellersville
Moxee|WA|Washington|Yakima|Moxee
Raeford|NC|North Carolina|Hoke|Raeford
Nowthen|MN|Minnesota|Anoka|Nowthen
Chester|MD|Maryland|Queen Anne's|Chester
Thiells|NY|New York|Rockland|Thiells
West Reading|PA|Pennsylvania|Berks|West Reading
Donora|PA|Pennsylvania|Washington|Donora
Mountain Lakes|NJ|New Jersey|Morris|Mountain Lakes
Jim Thorpe|PA|Pennsylvania|Carbon|Jim Thorpe
Horseshoe Bay|TX|Texas|Llano|Horseshoe Bay
Maeser|UT|Utah|Uintah|Maeser
Fremont|MI|Michigan|Newaygo|Fremont
Mount Vernon|MO|Missouri|Lawrence|Mount Vernon
Holly Ridge|NC|North Carolina|Onslow|Holly Ridge
Diboll|TX|Texas|Angelina|Diboll
Evansdale|IA|Iowa|Black Hawk|Evansdale
Paxtonia|PA|Pennsylvania|Dauphin|Paxtonia
Hearne|TX|Texas|Robertson|Hearne
Royal Pines|NC|North Carolina|Buncombe|Royal Pines
Canastota|NY|New York|Madison|Canastota
Hummelstown|PA|Pennsylvania|Dauphin|Hummelstown
Lake Panasoffkee|FL|Florida|Sumter|Lake Panasoffkee
Potosi|TX|Texas|Taylor|Potosi
Hartwell|GA|Georgia|Hart|Hartwell
California|MO|Missouri|Moniteau|California
Guerneville|CA|California|Sonoma|Guerneville
Rockford|MN|Minnesota|Wright|Rockford
Prospect|KY|Kentucky|Jefferson|Prospect
Heritage Village|CT|Connecticut|Naugatuck Valley|Heritage Village
Dardanelle|AR|Arkansas|Yell|Dardanelle
Buffalo|WY|Wyoming|Johnson|Buffalo
Seat Pleasant|MD|Maryland|Prince George's|Seat Pleasant
Suquamish|WA|Washington|Kitsap|Suquamish
Wellington|OH|Ohio|Lorain|Wellington
Bethel Manor|VA|Virginia|York|Bethel Manor
Fulton|MS|Mississippi|Itawamba|Fulton
Madisonville|TX|Texas|Madison|Madisonville
Hancock|MI|Michigan|Houghton|Hancock
Cross Mountain|TX|Texas|Bexar|Cross Mountain
West Wendover|NV|Nevada|Elko|West Wendover
Jessup|PA|Pennsylvania|Lackawanna|Jessup
Phoenix Lake|CA|California|Tuolumne|Phoenix Lake
Stone Park|IL|Illinois|Cook|Stone Park
Menands|NY|New York|Albany|Menands
Hawaiian Beaches|HI|Hawaii|Hawaii|Hawaiian Beaches
Rio Bravo|TX|Texas|Webb|Rio Bravo
Fox River Grove|IL|Illinois|McHenry|Fox River Grove
Buena|NJ|New Jersey|Atlantic|Buena
Landing|NJ|New Jersey|Morris|Landing
Josephine|TX|Texas|Collin|Josephine
Rogersville|MO|Missouri|Greene|Rogersville
Hallsville|TX|Texas|Harrison|Hallsville
Dexter|MI|Michigan|Washtenaw|Dexter
Lexington|WA|Washington|Cowlitz|Lexington
Mountain Grove|MO|Missouri|Wright|Mountain Grove
Taylor Creek|FL|Florida|Okeechobee|Taylor Creek
Hokes Bluff|AL|Alabama|Etowah|Hokes Bluff
Farmville|NC|North Carolina|Pitt|Farmville
Mosinee|WI|Wisconsin|Marathon|Mosinee
McGuire AFB|NJ|New Jersey|Burlington|McGuire AFB
China Grove|NC|North Carolina|Rowan|China Grove
Eldon|MO|Missouri|Miller|Eldon
Jasper|FL|Florida|Hamilton|Jasper
Piney|AR|Arkansas|Garland|Piney
Oak Grove|TN|Tennessee|Washington|Oak Grove
Narberth|PA|Pennsylvania|Montgomery|Narberth
Mabank|TX|Texas|Kaufman|Mabank
Westwood|KY|Kentucky|Boyd|Westwood
Edenton|NC|North Carolina|Chowan|Edenton
Beattystown|NJ|New Jersey|Warren|Beattystown
New Lexington|OH|Ohio|Perry|New Lexington
Millis-Clicquot|MA|Massachusetts|Norfolk|Millis-Clicquot
Ridge Manor|FL|Florida|Hernando|Ridge Manor
Wolverine Lake|MI|Michigan|Oakland|Wolverine Lake
Springdale|MD|Maryland|Prince George's|Springdale
Haughton|LA|Louisiana|Bossier|Haughton
Perry|OK|Oklahoma|Noble|Perry
Viroqua|WI|Wisconsin|Vernon|Viroqua
Smith Mills|MA|Massachusetts|Bristol|Smith Mills
Broadmoor|CA|California|San Mateo|Broadmoor
Crestline|OH|Ohio|Crawford|Crestline
Brewerton|NY|New York|Onondaga|Brewerton
Imbery|PR|Puerto Rico|Barceloneta|Imbery
Honesdale|PA|Pennsylvania|Wayne|Honesdale
Shallotte|NC|North Carolina|Brunswick|Shallotte
Fredericktown|MO|Missouri|Madison|Fredericktown
Wahneta|FL|Florida|Polk|Wahneta
Lee Acres|NM|New Mexico|San Juan|Lee Acres
Peotone|IL|Illinois|Will|Peotone
Shady Side|MD|Maryland|Anne Arundel|Shady Side
Newport|MN|Minnesota|Washington|Newport
Loch Lomond|VA|Virginia|Prince William|Loch Lomond
North Plymouth|MA|Massachusetts|Plymouth|North Plymouth
New Roads|LA|Louisiana|Pointe Coupee|New Roads
Charlotte Harbor|FL|Florida|Charlotte|Charlotte Harbor
Selmer|TN|Tennessee|McNairy|Selmer
Argo|AL|Alabama|St. Clair|Argo
Barclay|NJ|New Jersey|Camden|Barclay
Oasis|CA|California|Riverside|Oasis
Violet|LA|Louisiana|St. Bernard|Violet
Tulia|TX|Texas|Swisher|Tulia
Level Green|PA|Pennsylvania|Westmoreland|Level Green
La Grange|TX|Texas|Fayette|La Grange
Soldotna|AK|Alaska|Kenai Peninsula|Soldotna
Salinas|PR|Puerto Rico|Salinas|Salinas
Falfurrias|TX|Texas|Brooks|Falfurrias
Mojave|CA|California|Kern|Mojave
Mystic|CT|Connecticut|Southeastern Connecticut|Mystic
Castle Pines Village|CO|Colorado|Douglas|Castle Pines Village
Huxley|IA|Iowa|Story|Huxley
Ottawa|OH|Ohio|Putnam|Ottawa
Arabi|LA|Louisiana|St. Bernard|Arabi
Carmel Valley Village|CA|California|Monterey|Carmel Valley Village
Greenville|KY|Kentucky|Muhlenberg|Greenville
Vandercook Lake|MI|Michigan|Jackson|Vandercook Lake
Samoset|FL|Florida|Manatee|Samoset
Lebanon|IL|Illinois|St. Clair|Lebanon
Wayland|MI|Michigan|Allegan|Wayland
Devine|TX|Texas|Medina|Devine
Unalaska|AK|Alaska|Aleutians West|Unalaska
La Verkin|UT|Utah|Washington|La Verkin
Newport|NC|North Carolina|Carteret|Newport
Lafayette|OR|Oregon|Yamhill|Lafayette
Dewey-Humboldt|AZ|Arizona|Yavapai|Dewey-Humboldt
Perryville|MD|Maryland|Cecil|Perryville
McLoud|OK|Oklahoma|Pottawatomie|McLoud
Marlow|OK|Oklahoma|Stephens|Marlow
Pittsfield|IL|Illinois|Pike|Pittsfield
Crouch Mesa|NM|New Mexico|San Juan|Crouch Mesa
Tazewell|VA|Virginia|Tazewell|Tazewell
National Harbor|MD|Maryland|Prince George's|National Harbor
Canton|NC|North Carolina|Haywood|Canton
Florida Gulf Coast University|FL|Florida|Lee|Florida Gulf Coast University
Huntingdon|TN|Tennessee|Carroll|Huntingdon
Breckenridge Hills|MO|Missouri|St. Louis|Breckenridge Hills
Newport|VT|Vermont|Orleans|Newport
Bloomfield Hills|MI|Michigan|Oakland|Bloomfield Hills
Canton|TX|Texas|Van Zandt|Canton
Eagar|AZ|Arizona|Apache|Eagar
Summit|AZ|Arizona|Pima|Summit
Atlantic Highlands|NJ|New Jersey|Monmouth|Atlantic Highlands
Summerville|GA|Georgia|Chattooga|Summerville
Vilonia|AR|Arkansas|Faulkner|Vilonia
Belton|SC|South Carolina|Anderson|Belton
Thornwood|NY|New York|Westchester|Thornwood
Longview Heights|WA|Washington|Cowlitz|Longview Heights
Pearl River|MS|Mississippi|Neshoba|Pearl River
Beaver|PA|Pennsylvania|Beaver|Beaver
Farley|KY|Kentucky|McCracken|Farley
Crescent Springs|KY|Kentucky|Kenton|Crescent Springs
Pittsburg|TX|Texas|Camp|Pittsburg
Glassport|PA|Pennsylvania|Allegheny|Glassport
Roseburg North|OR|Oregon|Douglas|Roseburg North
Indian Mountain Lake|PA|Pennsylvania|Monroe|Indian Mountain Lake
Helena Valley Northeast|MT|Montana|Lewis and Clark|Helena Valley Northeast
Bayside|WI|Wisconsin|Milwaukee|Bayside
Apison|TN|Tennessee|Hamilton|Apison
Ivanhoe|CA|California|Tulare|Ivanhoe
Emerald Lake Hills|CA|California|San Mateo|Emerald Lake Hills
North Terre Haute|IN|Indiana|Vigo|North Terre Haute
Chinle|AZ|Arizona|Apache|Chinle
Brooktrails|CA|California|Mendocino|Brooktrails
Palacios|TX|Texas|Matagorda|Palacios
Barboursville|WV|West Virginia|Cabell|Barboursville
Scottdale|PA|Pennsylvania|Westmoreland|Scottdale
Minersville|PA|Pennsylvania|Schuylkill|Minersville
Scottsville|KY|Kentucky|Allen|Scottsville
Pleasant Run Farm|OH|Ohio|Hamilton|Pleasant Run Farm
La Vale|MD|Maryland|Allegany|La Vale
Denver City|TX|Texas|Yoakum|Denver City
Coldwater|OH|Ohio|Mercer|Coldwater
Lemmon Valley|NV|Nevada|Washoe|Lemmon Valley
Prairie du Sac|WI|Wisconsin|Sauk|Prairie du Sac
Phoenix|OR|Oregon|Jackson|Phoenix
Armonk|NY|New York|Westchester|Armonk
Puhi|HI|Hawaii|Kauai|Puhi
Ludlow|KY|Kentucky|Kenton|Ludlow
Lolo|MT|Montana|Missoula|Lolo
Hamburg|PA|Pennsylvania|Berks|Hamburg
Prescott|WI|Wisconsin|Pierce|Prescott
Placitas|NM|New Mexico|Sandoval|Placitas
Oak Valley|NJ|New Jersey|Gloucester|Oak Valley
Jasper|GA|Georgia|Pickens|Jasper
Breese|IL|Illinois|Clinton|Breese
Whiteland|IN|Indiana|Johnson|Whiteland
Louisville|TN|Tennessee|Blount|Louisville
Archbold|OH|Ohio|Fulton|Archbold
Gang Mills|NY|New York|Steuben|Gang Mills
Laguna Beach|FL|Florida|Bay|Laguna Beach
Kewaskum|WI|Wisconsin|Washington|Kewaskum
Mississippi State|MS|Mississippi|Oktibbeha|Mississippi State
Waverly|NE|Nebraska|Lancaster|Waverly
Wayzata|MN|Minnesota|Hennepin|Wayzata
Tri-City|OR|Oregon|Douglas|Tri-City
Wadena|MN|Minnesota|Wadena|Wadena
Pocomoke City|MD|Maryland|Worcester|Pocomoke City
Hanamaulu|HI|Hawaii|Kauai|Hanamaulu
Magnolia|NJ|New Jersey|Camden|Magnolia
Pocola|OK|Oklahoma|Le Flore|Pocola
Parker|FL|Florida|Bay|Parker
Hunters Creek Village|TX|Texas|Harris|Hunters Creek Village
Dyersville|IA|Iowa|Dubuque|Dyersville
Auburn|IL|Illinois|Sangamon|Auburn
Harrogate|TN|Tennessee|Claiborne|Harrogate
Baxter Village|SC|South Carolina|York|Baxter Village
Scott City|MO|Missouri|Scott|Scott City
Rose Hill|KS|Kansas|Butler|Rose Hill
Union Mill|VA|Virginia|Fairfax|Union Mill
Belleair|FL|Florida|Pinellas|Belleair
Hutchinson Island South|FL|Florida|St. Lucie|Hutchinson Island South
Isle of Palms|SC|South Carolina|Charleston|Isle of Palms
North Wilkesboro|NC|North Carolina|Wilkes|North Wilkesboro
McMurray|PA|Pennsylvania|Washington|McMurray
Sykesville|MD|Maryland|Carroll|Sykesville
Wanamassa|NJ|New Jersey|Monmouth|Wanamassa
Woodruff|SC|South Carolina|Spartanburg|Woodruff
Waverly|NY|New York|Tioga|Waverly
Freeburg|IL|Illinois|St. Clair|Freeburg
Boulevard Park|WA|Washington|King|Boulevard Park
Medford|WI|Wisconsin|Taylor|Medford
Portola Valley|CA|California|San Mateo|Portola Valley
Pantops|VA|Virginia|Albemarle|Pantops
Kimberly|AL|Alabama|Jefferson|Kimberly
Middleville|MI|Michigan|Barry|Middleville
Sunset Beach|NC|North Carolina|Brunswick|Sunset Beach
Mount Hermon|VA|Virginia|Pittsylvania|Mount Hermon
Indian River Shores|FL|Florida|Indian River|Indian River Shores
Hebbronville|TX|Texas|Jim Hogg|Hebbronville
Lake Darby|OH|Ohio|Franklin|Lake Darby
Mathis|TX|Texas|San Patricio|Mathis
Maytown|PA|Pennsylvania|Lancaster|Maytown
Old Westbury|NY|New York|Nassau|Old Westbury
Winona|MS|Mississippi|Montgomery|Winona
Reedsport|OR|Oregon|Douglas|Reedsport
Mills|WY|Wyoming|Natrona|Mills
Lincoln Park|CO|Colorado|Fremont|Lincoln Park
Chelan|WA|Washington|Chelan|Chelan
Baldwin|WI|Wisconsin|St. Croix|Baldwin
Hampton|IA|Iowa|Franklin|Hampton
Huber Ridge|OH|Ohio|Franklin|Huber Ridge
Ford City|CA|California|Kern|Ford City
Lincoln|ND|North Dakota|Burleigh|Lincoln
Leisure Village East|NJ|New Jersey|Ocean|Leisure Village East
Whiteriver|AZ|Arizona|Navajo|Whiteriver
Bonsall|CA|California|San Diego|Bonsall
Gaylord|MI|Michigan|Otsego|Gaylord
Crandall|TX|Texas|Kaufman|Crandall
Staunton|IL|Illinois|Macoupin|Staunton
Lower Grand Lagoon|FL|Florida|Bay|Lower Grand Lagoon
Coarsegold|CA|California|Madera|Coarsegold
Chalfont|PA|Pennsylvania|Bucks|Chalfont
Lajas|PR|Puerto Rico|Lajas|Lajas
Chattanooga Valley|GA|Georgia|Walker|Chattanooga Valley
Holiday City South|NJ|New Jersey|Ocean|Holiday City South
Long Hill|CT|Connecticut|Southeastern Connecticut|Long Hill
Dawson|GA|Georgia|Terrell|Dawson
Adamsville|AL|Alabama|Jefferson|Adamsville
Lamar|MO|Missouri|Barton|Lamar
McGovern|PA|Pennsylvania|Washington|McGovern
Sinking Spring|PA|Pennsylvania|Berks|Sinking Spring
Clearlake Riviera|CA|California|Lake|Clearlake Riviera
Sheffield|OH|Ohio|Lorain|Sheffield
Tarentum|PA|Pennsylvania|Allegheny|Tarentum
Westville|NJ|New Jersey|Gloucester|Westville
Bagdad|FL|Florida|Santa Rosa|Bagdad
Caro|MI|Michigan|Tuscola|Caro
Haleyville|AL|Alabama|Winston|Haleyville
Mauston|WI|Wisconsin|Juneau|Mauston
Forest City|IA|Iowa|Winnebago|Forest City
Orangeburg|NY|New York|Rockland|Orangeburg
Waverly|TN|Tennessee|Humphreys|Waverly
Slatington|PA|Pennsylvania|Lehigh|Slatington
Bethel|WA|Washington|Kitsap|Bethel
Verona|VA|Virginia|Augusta|Verona
Kaplan|LA|Louisiana|Vermilion|Kaplan
Wiggins|MS|Mississippi|Stone|Wiggins
Saukville|WI|Wisconsin|Ozaukee|Saukville
Morgan|UT|Utah|Morgan|Morgan
Medford Lakes|NJ|New Jersey|Burlington|Medford Lakes
Rosedale|WA|Washington|Pierce|Rosedale
Edgewood|OH|Ohio|Ashtabula|Edgewood
Boyertown|PA|Pennsylvania|Berks|Boyertown
Bradley Beach|NJ|New Jersey|Monmouth|Bradley Beach
Highland Beach|FL|Florida|Palm Beach|Highland Beach
Ligonier|IN|Indiana|Noble|Ligonier
Normandy|MO|Missouri|St. Louis|Normandy
Bristow|OK|Oklahoma|Creek|Bristow
Sparta|MI|Michigan|Kent|Sparta
Lonoke|AR|Arkansas|Lonoke|Lonoke
Laureldale|PA|Pennsylvania|Berks|Laureldale
Buchanan|MI|Michigan|Berrien|Buchanan
Russell|KS|Kansas|Russell|Russell
Paintsville|KY|Kentucky|Johnson|Paintsville
Shenandoah|PA|Pennsylvania|Schuylkill|Shenandoah
North Braddock|PA|Pennsylvania|Allegheny|North Braddock
Suncoast Estates|FL|Florida|Lee|Suncoast Estates
Southside|AR|Arkansas|Independence|Southside
Elmira Heights|NY|New York|Chemung|Elmira Heights
Sullivan|IL|Illinois|Moultrie|Sullivan
Hayfield|VA|Virginia|Fairfax|Hayfield
Elverta|CA|California|Sacramento|Elverta
Euharlee|GA|Georgia|Bartow|Euharlee
Sullivan|IN|Indiana|Sullivan|Sullivan
West Jefferson|OH|Ohio|Madison|West Jefferson
Shelbyville|IL|Illinois|Shelby|Shelbyville
Larksville|PA|Pennsylvania|Luzerne|Larksville
Hatillo|PR|Puerto Rico|Hatillo|Hatillo
West Peoria|IL|Illinois|Peoria|West Peoria
Harbison Canyon|CA|California|San Diego|Harbison Canyon
Osawatomie|KS|Kansas|Miami|Osawatomie
Hometown|IL|Illinois|Cook|Hometown
Spackenkill|NY|New York|Dutchess|Spackenkill
Spindale|NC|North Carolina|Rutherford|Spindale
Garden Ridge|TX|Texas|Comal|Garden Ridge
Lawrenceville|IL|Illinois|Lawrence|Lawrenceville
Farrell|PA|Pennsylvania|Mercer|Farrell
Ovilla|TX|Texas|Ellis|Ovilla
Caldwell|TX|Texas|Burleson|Caldwell
Lake View|AL|Alabama|Tuscaloosa|Lake View
Greencastle|PA|Pennsylvania|Franklin|Greencastle
Chariton|IA|Iowa|Lucas|Chariton
Forty Fort|PA|Pennsylvania|Luzerne|Forty Fort
French Island|WI|Wisconsin|La Crosse|French Island
County Center|VA|Virginia|Prince William|County Center
West Laurel|MD|Maryland|Prince George's|West Laurel
Santa Barbara|PR|Puerto Rico|Canóvanas|Santa Barbara
Brookland|AR|Arkansas|Craighead|Brookland
Ho-Ho-Kus|NJ|New Jersey|Bergen|Ho-Ho-Kus
Pine Level|AL|Alabama|Autauga|Pine Level
Geneva|AL|Alabama|Geneva|Geneva
Comanche|TX|Texas|Comanche|Comanche
Park Rapids|MN|Minnesota|Hubbard|Park Rapids
Spring Valley Village|TX|Texas|Harris|Spring Valley Village
Ashburn|GA|Georgia|Turner|Ashburn
Danville|PA|Pennsylvania|Montour|Danville
Ashdown|AR|Arkansas|Little River|Ashdown
Kutztown University|PA|Pennsylvania|Berks|Kutztown University
Fox Farm-College|WY|Wyoming|Laramie|Fox Farm-College
Anna|IL|Illinois|Union|Anna
Fayette|AL|Alabama|Fayette|Fayette
Broadway|VA|Virginia|Rockingham|Broadway
Franklin|NC|North Carolina|Macon|Franklin
Fayetteville|NY|New York|Onondaga|Fayetteville
Aumsville|OR|Oregon|Marion|Aumsville
Aldan|PA|Pennsylvania|Delaware|Aldan
Sharpsville|PA|Pennsylvania|Mercer|Sharpsville
Lyons|GA|Georgia|Toombs|Lyons
Surfside Beach|SC|South Carolina|Horry|Surfside Beach
Mirrormont|WA|Washington|King|Mirrormont
Cannon Falls|MN|Minnesota|Goodhue|Cannon Falls
Broken Bow|OK|Oklahoma|McCurtain|Broken Bow
Mount Pleasant|PA|Pennsylvania|Westmoreland|Mount Pleasant
Slaughterville|OK|Oklahoma|Cleveland|Slaughterville
Bay Hill|FL|Florida|Orange|Bay Hill
Grape Creek|TX|Texas|Tom Green|Grape Creek
Sherman|IL|Illinois|Sangamon|Sherman
Columbus|MN|Minnesota|Anoka|Columbus
Ellenville|NY|New York|Ulster|Ellenville
East Camden|SC|South Carolina|Kershaw|East Camden
High Ridge|MO|Missouri|Jefferson|High Ridge
Chagrin Falls|OH|Ohio|Cuyahoga|Chagrin Falls
San Carlos|TX|Texas|Hidalgo|San Carlos
Kings Park|VA|Virginia|Fairfax|Kings Park
Wamego|KS|Kansas|Pottawatomie|Wamego
Northwest Harwich|MA|Massachusetts|Barnstable|Northwest Harwich
Mattituck|NY|New York|Suffolk|Mattituck
Kelseyville|CA|California|Lake|Kelseyville
Mount Olive|NC|North Carolina|Wayne|Mount Olive
Le Sueur|MN|Minnesota|Le Sueur|Le Sueur
Charleroi|PA|Pennsylvania|Washington|Charleroi
Poplar Grove|IL|Illinois|Boone|Poplar Grove
Clarion|PA|Pennsylvania|Clarion|Clarion
Paxton|IL|Illinois|Ford|Paxton
Jacksonwald|PA|Pennsylvania|Berks|Jacksonwald
Cold Spring|MN|Minnesota|Stearns|Cold Spring
Galeville|NY|New York|Onondaga|Galeville
West Bay Shore|NY|New York|Suffolk|West Bay Shore
Bellville|TX|Texas|Austin|Bellville
Springville|NY|New York|Erie|Springville
Rising Sun-Lebanon|DE|Delaware|Kent|Rising Sun-Lebanon
Scott AFB|IL|Illinois|St. Clair|Scott AFB
Park Layne|OH|Ohio|Clark|Park Layne
Edinburgh|IN|Indiana|Johnson|Edinburgh
